"FHIR Resource","Claim or Coverage Types","CCW Source Column Name","Extension Name","Extension Description","FHIR R4 Mapping","Extension Info"
"Coverage","Part-D","CST_SHR_GRP_CD_10","Part D Low Income Cost Share Group Code - October","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr10'"
"Coverage","Part-D","CST_SHR_GRP_CD_11","Part D Low Income Cost Share Group Code - November","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr11'"
"Coverage","Part-D","CST_SHR_GRP_CD_12","Part D Low Income Cost Share Group Code - December","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr12'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_01","Medicare Medicaid Dual Eligibility Code - January","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_01'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_02","Medicare Medicaid Dual Eligibility Code - February","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_02'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_03","Medicare Medicaid Dual Eligibility Code - March","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_03'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_04","Medicare Medicaid Dual Eligibility Code - April","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_04'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_05","Medicare Medicaid Dual Eligibility Code - May","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_05'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_06","Medicare Medicaid Dual Eligibility Code - June","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_06'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_07","Medicare Medicaid Dual Eligibility Code - July","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_07'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_08","Medicare Medicaid Dual Eligibility Code - August","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_08'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_09","Medicare Medicaid Dual Eligibility Code - September","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_09'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_10","Medicare Medicaid Dual Eligibility Code - October","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_10'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_11","Medicare Medicaid Dual Eligibility Code - November","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_11'"
"Coverage","Part-A; Part-B; Part-C; Part-D","DUAL_STUS_CD_12","Medicare Medicaid Dual Eligibility Code - December","This variable indicates whether the beneficiary was eligible for both Medicare and Medicaid in a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/dual_12'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_1_IND","Medicare Entitlement/Buy-In Indicator — January - (01)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin01'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_10_IND","Medicare Entitlement/Buy-In Indicator — October - (10)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin10'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_11_IND","Medicare Entitlement/Buy-In Indicator — November - (11)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin11'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_12_IND","Medicare Entitlement/Buy-In Indicator — December - (12)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin12'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_2_IND","Medicare Entitlement/Buy-In Indicator — February - (02)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin02'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_3_IND","Medicare Entitlement/Buy-In Indicator — March - (03)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin03'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_4_IND","Medicare Entitlement/Buy-In Indicator — April - (04)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin04'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_5_IND","Medicare Entitlement/Buy-In Indicator — May - (05)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin05'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_6_IND","Medicare Entitlement/Buy-In Indicator — June - (06)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin06'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_7_IND","Medicare Entitlement/Buy-In Indicator — July - (07)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin07'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_8_IND","Medicare Entitlement/Buy-In Indicator — August - (08)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin08'"
"Coverage","Part-A; Part-B","MDCR_ENTLMT_BUYIN_9_IND","Medicare Entitlement/Buy-In Indicator — September - (09)","Monthly Part A and/or Part B entitlement indicator.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/buyin09'"
"Coverage","Part-C","PTC_CNTRCT_ID_01","Part C Contract Number - January","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_01'"
"Coverage","Part-C","PTC_CNTRCT_ID_02","Part C Contract Number - February","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_02'"
"Coverage","Part-C","PTC_CNTRCT_ID_03","Part C Contract Number - March","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_03'"
"Coverage","Part-C","PTC_CNTRCT_ID_04","Part C Contract Number - April","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_04'"
"Coverage","Part-C","PTC_CNTRCT_ID_05","Part C Contract Number - May","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_05'"
"Coverage","Part-C","PTC_CNTRCT_ID_06","Part C Contract Number - June","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_06'"
"Coverage","Part-C","PTC_CNTRCT_ID_07","Part C Contract Number - July","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_07'"
"Coverage","Part-C","PTC_CNTRCT_ID_08","Part C Contract Number - August","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_08'"
"Coverage","Part-C","PTC_CNTRCT_ID_09","Part C Contract Number - September","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_09'"
"Coverage","Part-C","PTC_CNTRCT_ID_10","Part C Contract Number - October","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_10'"
"Coverage","Part-C","PTC_CNTRCT_ID_11","Part C Contract Number - November","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_11'"
"Coverage","Part-C","PTC_CNTRCT_ID_12","Part C Contract Number - December","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_cntrct_id_12'"
"Coverage","Part-C","PTC_PBP_ID_01","Part C PBP Number - January","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_01'"
"Coverage","Part-C","PTC_PBP_ID_02","Part C PBP Number - February","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_02'"
"Coverage","Part-C","PTC_PBP_ID_03","Part C PBP Number - March","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_03'"
"Coverage","Part-C","PTC_PBP_ID_04","Part C PBP Number - April","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_04'"
"Coverage","Part-C","PTC_PBP_ID_05","Part C PBP Number - May","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_05'"
"Coverage","Part-C","PTC_PBP_ID_06","Part C PBP Number - June","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_06'"
"Coverage","Part-C","PTC_PBP_ID_07","Part C PBP Number - July","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_07'"
"Coverage","Part-C","PTC_PBP_ID_08","Part C PBP Number - August","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_08'"
"Coverage","Part-C","PTC_PBP_ID_09","Part C PBP Number - September","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_09'"
"Coverage","Part-C","PTC_PBP_ID_10","Part C PBP Number - October","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_10'"
"Coverage","Part-C","PTC_PBP_ID_11","Part C PBP Number - November","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_11'"
"Coverage","Part-C","PTC_PBP_ID_12","Part C PBP Number - December","The variable is the Medicare Part C plan benefit package (PBP) for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part C plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_pbp_id_12'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_01","Part C Plan Type Code - January","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_01'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_02","Part C Plan Type Code - February","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_02'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_03","Part C Plan Type Code - March","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_03'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_04","Part C Plan Type Code - April","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_04'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_05","Part C Plan Type Code - May","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_05'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_06","Part C Plan Type Code - June","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_06'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_07","Part C Plan Type Code - July","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_07'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_08","Part C Plan Type Code - August","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_08'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_09","Part C Plan Type Code - September","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_09'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_10","Part C Plan Type Code - October","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_10'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_11","Part C Plan Type Code - November","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_11'"
"Coverage","Part-C","PTC_PLAN_TYPE_CD_12","Part C Plan Type Code - December","This variable is the type of Medicare Part C plan for the beneficiary for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptc_plan_type_cd_12'"
"Coverage","Part-D","PTD_CNTRCT_ID_01","Part D Contract Number - January (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct01'"
"Coverage","Part-D","PTD_CNTRCT_ID_01","Part D Contract Number - January (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct01-<year>-1'"
"Coverage","Part-D","PTD_CNTRCT_ID_02","Part D Contract Number - February (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct02'"
"Coverage","Part-D","PTD_CNTRCT_ID_02","Part D Contract Number - February (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct02-<year>-2'"
