,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
22,PA Decision,PA Decision,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/PA-DECISION').value.code,A,,,,,['CWF'],,,,
23,PA Request Submitted Date,PA Request Submitted Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/PA-REQ-SUB-DT').value,2018-07-28,,,,,['CWF'],,,,
24,PA Request Received Date,PA Request Received Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/PA-REQ-REC-DT').value,2018-07-27,,,,,['CWF'],,,,
25,PA Decision Date,PA Decision Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/PA-DECISION-DT').value,2018-07-28,,,,,['CWF'],,,,
26,PA Decision Expiration Date,PA Decision Expiration Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/PA-DECISION-EXP-DT').value,2019-07-28,,,,,['CWF'],,,,
27,Service Counts,Service Counts,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/SERVICE-CNTS').value,6,,,,,['CWF'],,,,
28,Service Rendering State,Service Rendering State,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/SVC-RENDER-ST').value.code,IL,,,,,['CWF'],,,,
29,MR Count Indicator,MR Count Indicator,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/MR-COUNT-IND').value,17,,,,,['CWF'],,,,
30,MR Count Start Date,MR Count Start Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/MR-COUNT-ST-DT').value,2018-08-08,,,,,['CWF'],,,,
31,MR Count End Date,MR Count End Date,ExplanationOfBenefit,['PriorAuth'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/MR-COUNT-END-DT').value,2019-08-08,,,,,['CWF'],,,,
32,RRB Exclusion Indicator,RRB Exclusion Indicator,ExplanationOfBenefit,['PriorAuth'],"iif(ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/RRB-EXCL-IND').value = true, 'Y', ' ')",[' '],,,,,['CWF'],,,,
33,Coverage Part,The 'Part' of Medicare Coverage desired to transform.,Coverage,"['PartA', 'PartB']",Coverage.class.where(type.coding.code='plan').value,Part A,,,,True,,,,,
34,Beneficiary MBI ID,"An identifier that uniquely identifies a beneficiary and replaces the Health Insurance Claim Number (HICN) on Medicare cards. The format of the Medicare Beneficiary Identifier (MBI) is 11-positions in length and contains the following values:  position 1 numeric values: 1 - 9  position 2 alphabetic values: A - Z (minus S, L, O, I, B, Z  position 3 alphanumeric values: 0 - 9 and A - Z (minus S, L, O, I, B, Z)  position 4 numeric values: 0 - 9  position 5 alphabetic values: A - Z (minus S, L, O, I, B, Z)  position 6 alphanumeric values: 0 - 9 and a - z (minus S, L, O, I, B, Z)  position 7 numeric values: 0 - 9  position 8 alphabetic values: A - Z (minus S, L, O, I, B, Z)  position 9 alphabetic values: A - Z (minus S, L, O, I, B, Z)  position 10 numeric values: 0 - 9  position 11 numeric values: 0 - 9",Coverage,"['PartA', 'PartB']",Coverage.subscriberId,ABB2BB0BB22,,V2_MDCR_BENE,BENE_MBI_ID,,,,,,
35,Beneficiary FHIR ID,A unique number assigned by the Enrollment Database (EDB) to each EDB record to identify a beneficiary.,Coverage,"['PartA', 'PartB']",Coverage.beneficiary.reference.substring(8),123456789,,V2_MDCR_BENE,BENE_SK,,,,,,
36,Medicare Status Code,A code identifying the reason for a beneficiary's entitlement to Medicare benefits.    Reference table: BENE_MDCR_STUS_CD,Coverage,"['PartA', 'PartB']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-MDCR-STUS-CD').value.code,31,,V2_MDCR_BENE_MDCR_STUS,BENE_MDCR_STUS_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-MDCR-STUS-CD,['CCLF8.BENE_MDCR_STUS_CD'],['BENE_MDCR_STATUS_CD'],
37,Medicare Entitlement Status Code,The reason for entitlement or termination of a beneficiary's benefits during a period of coverage.,Coverage,"['PartA', 'PartB']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-MDCR-ENTLMT-STUS-CD').value.code,E,,V2_MDCR_BENE_MDCR_ENTLMT,BENE_MDCR_ENTLMT_STUS_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-MDCR-ENTLMT-STUS-CD,,"['BENE_PTA_TRMNTN_CD', 'BENE_PTB_TRMNTN_CD']",
38,Buy-in Code,A code that indicates the reason for part a/part b state buy-in eligibility.,Coverage,"['PartA', 'PartB']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-BUYIN-CD').value.code,A,,V2_MDCR_BENE_TP,BENE_BUYIN_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-BUYIN-CD,['CCLF8.BENE_ENTLMT_BUYIN_IND'],"['MDCR_ENTLMT_BUYIN_1_IND', 'MDCR_ENTLMT_BUYIN_2_IND', 'MDCR_ENTLMT_BUYIN_3_IND', 'MDCR_ENTLMT_BUYIN_4_IND', 'MDCR_ENTLMT_BUYIN_5_IND', 'MDCR_ENTLMT_BUYIN_6_IND', 'MDCR_ENTLMT_BUYIN_7_IND', 'MDCR_ENTLMT_BUYIN_8_IND', 'MDCR_ENTLMT_BUYIN_9_IND', 'MDCR_ENTLMT_BUYIN_10_IND', 'MDCR_ENTLMT_BUYIN_11_IND', 'MDCR_ENTLMT_BUYIN_12_IND']",
39,Beneficiary Range Begin Date,The primary begin date for a beneficiary date range.,Coverage,"['PartA', 'PartB']",Coverage.period.start,2018-04-11,,V2_MDCR_BENE_MDCR_ENTLMT,BENE_RNG_BGN_DT,,,,"['CCLF8.BENE_PART_A_ENRLMT_BGN_DT', 'CCLF8.BENE_PART_B_ENRLMT_BGN_DT']",['COVSTART'],
40,Beneficiary Range End Date,The primary end date for a beneficiary date range.,Coverage,"['PartA', 'PartB']",Coverage.period.end,,,V2_MDCR_BENE_MDCR_ENTLMT,BENE_RNG_END_DT,,,,,,
41,Last Updated Time,The date the coverage information was last updated,Coverage,"['PartA', 'PartB']",Coverage.meta.lastUpdated,2020-01-07T03:02:28.000000Z,This should represent the latest update time of any of the constituent rows.,,,True,,,,,
42,Beneficiary Enrollment Reason Code,The reason for a beneficiary's enrolment to Part A/Part B benefits.,Coverage,"['PartA', 'PartB']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-ENRLMT-RSN-CD').value.code,I,,V2_MDCR_BENE_MDCR_ENTLMT,BENE_MDCR_ENRLMT_RSN_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-MDCR-ENRLMT-RSN-CD,,,
43,Beneficiary Entitlement Reason Code,A code identifying the basis in determining a beneficiary's entitlement to Medicare benefits.,Coverage,"['PartA', 'PartB']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-MDCR-ENTLMT-RSN-CD').value.code,2,,V2_MDCR_BENE_MDCR_ENTLMT_RSN,BENE_MDCR_ENTLMT_RSN_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-MDCR-ENTLMT-RSN-CD,['CCLF8.BENE_ORGNL_ENTLMT_RSN_CD'],['BENE_ENTLMT_RSN_ORIG'],
44,Beneficiary ESRD Status ID,A beneficiary's end stage renal disease status indicator.,Coverage,"['PartA', 'PartB']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-ESRD-STUS-ID').value.code,Y,,V2_MDCR_BENE_MDCR_STUS_CD,BENE_ESRD_STUS_ID,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-ESRD-STUS-ID,,['BENE_ESRD_IND'],
45,Beneficiary Disabled Status Code,AN IDENTIFIER INDICATING WHETHER DISABILITY IS A REASON FOR A BENEFICIARYS ENTITLEMENT TO MEDICARE.,Coverage,"['PartA', 'PartB']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-DSBLD-STUS-ID').value.code,N,,V2_MDCR_BENE_MDCR_STUS_CD,BENE_DSBLD_STUS_ID,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-DSBLD-STUS-ID,,,
46,Beneficiary Dual Status Code,A code identifying the entitlement status for a dual eligible beneficiary.,Coverage,['DUAL'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-DUAL-STUS-CD').value.code,01,,V2_MDCR_BENE_CMBND_DUAL_MDCR,BENE_DUAL_STUS_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-DUAL-STUS-CD,['CCLF8.BENE_DUAL_STUS_CD'],"['DUAL_STUS_CD_01', 'DUAL_STUS_CD_02', 'DUAL_STUS_CD_03', 'DUAL_STUS_CD_04', 'DUAL_STUS_CD_05', 'DUAL_STUS_CD_06', 'DUAL_STUS_CD_07', 'DUAL_STUS_CD_08', 'DUAL_STUS_CD_09', 'DUAL_STUS_CD_10', 'DUAL_STUS_CD_11', 'DUAL_STUS_CD_12']",
47,Medicare/Medicaid Dual Type Code,"A code identifying a beneficiary's dual Medicaid designation, whether a beneficiary is partial or dual Medicare.",Coverage,['DUAL'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-DUAL-TYPE-CD').value.code,P,,V2_MDCR_BENE_CMBND_DUAL_MDCR,BENE_DUAL_TYPE_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-DUAL-TYPE-CD,,,
48,Medicaid State Code,"A code identifying the two-character alphabetic abbreviation for a state in the United States as defined by the United States Postal Service (USPS) associated with a beneficiary, provider, or claim address and used in the geocoding process.",Coverage,['DUAL'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/MEDICAID-STATE-CD').value.code,TX,,V2_MDCR_BENE_CMBND_DUAL_MDCR,GEO_USPS_STATE_CD,,,,,,
49,Medicaid Eligibility Begin Date,A date that indicates the beginning of a beneficiary's Medicaid eligibility period. It is the effective start date of the Medicaid period calculated according to Medicare Advantage Prescription Drug (MARX) requirements. The date will always be the first of a month.,Coverage,['DUAL'],Coverage.period.start,2018-04-11,,V2_MDCR_BENE_CMBND_DUAL_MDCR,BENE_MDCD_ELGBLTY_BGN_DT,,,,,,
50,Medicaid Eligibility End Date,A date that indicates the end of a beneficiary's Medicaid eligibility period. It is the effective end date of the Medicaid period calculated according to Medicare Advantage Prescription Drug (MARX) requirements. The date will always be the end of a month or 12/31/9999.,Coverage,['DUAL'],Coverage.period.end,,,V2_MDCR_BENE_CMBND_DUAL_MDCR,BENE_MDCD_ELGBLTY_END_DT,,,,,,
51,Beneficiary Enrollment Begin Date,"The date that the beneficiary enrolled in the service election. [Source: plan transaction, automatic enrollment]",Coverage,"['PartC', 'PartD']",Coverage.period.start,2018-04-11,,V2_MDCR_BENE_MAPD_ENRLMT,BENE_ENRLMT_BGN_DT,,,,,,
52,Beneficiary Enrollment End Date,The date that the beneficiary disenrolled in the service elections.,Coverage,"['PartC', 'PartD']",Coverage.period.end,,,V2_MDCR_BENE_MAPD_ENRLMT,BENE_ENRLMT_END_DT,,,,,,
53,Beneficiary Contract Number,Unique identifier enabling an entity to provide coverage to eligible Medicare beneficiaries.,Coverage,"['PartC', 'PartD']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-CNTRCT-NUM').value,H1234,,V2_MDCR_BENE_MAPD_ENRLMT,BENE_CNTRCT_NUM,,,,,"['PTC_CNTRCT_ID_01', 'PTC_CNTRCT_ID_02', 'PTC_CNTRCT_ID_03', 'PTC_CNTRCT_ID_04', 'PTC_CNTRCT_ID_05', 'PTC_CNTRCT_ID_06', 'PTC_CNTRCT_ID_07', 'PTC_CNTRCT_ID_08', 'PTC_CNTRCT_ID_09', 'PTC_CNTRCT_ID_10', 'PTC_CNTRCT_ID_11', 'PTC_CNTRCT_ID_12', 'PTD_CNTRCT_ID_01', 'PTD_CNTRCT_ID_02', 'PTD_CNTRCT_ID_03', 'PTD_CNTRCT_ID_04', 'PTD_CNTRCT_ID_05', 'PTD_CNTRCT_ID_06', 'PTD_CNTRCT_ID_07', 'PTD_CNTRCT_ID_08', 'PTD_CNTRCT_ID_09', 'PTD_CNTRCT_ID_10', 'PTD_CNTRCT_ID_11', 'PTD_CNTRCT_ID_12']",
54,Beneficiary PBP Number,A unique identifier for the plan benefit package offered under the contract. For Part D this number is a unique identification for an agreement between CMS and a Part D provider enabling the Part D provider to provide drug coverage to eligible beneficiaries. MARX definition: a 3-position numeric identifier assigned to a Plan Benefit Package (PBP) offered within a managed care or prescription drug contract. Values beginning with 8 are reserved for employer group plans. A value of 999 is reserved for cost contractors who do not choose to offer a prescription drug benefit,Coverage,"['PartC', 'PartD']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-PBP-NUM').value,001,,V2_MDCR_BENE_MAPD_ENRLMT,BENE_PBP_NUM,,,,,"['PTC_PBP_ID_01', 'PTC_PBP_ID_02', 'PTC_PBP_ID_03', 'PTC_PBP_ID_04', 'PTC_PBP_ID_05', 'PTC_PBP_ID_06', 'PTC_PBP_ID_07', 'PTC_PBP_ID_08', 'PTC_PBP_ID_09', 'PTC_PBP_ID_10', 'PTC_PBP_ID_11', 'PTC_PBP_ID_12', 'PTD_PBP_ID_01', 'PTD_PBP_ID_02', 'PTD_PBP_ID_03', 'PTD_PBP_ID_04', 'PTD_PBP_ID_05', 'PTD_PBP_ID_06', 'PTD_PBP_ID_07', 'PTD_PBP_ID_08', 'PTD_PBP_ID_09', 'PTD_PBP_ID_10', 'PTD_PBP_ID_11', 'PTD_PBP_ID_12']",
55,Beneficiary Coverage Type Code,A code identifying the type of coverage in which the beneficiary is enrolled.    Reference table: BENE_CVRG_TYPE_CD,Coverage,"['PartC', 'PartD']",Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-CVRG-TYPE-CD').value.code,3,"The code system has a different enumeration between the CCW and the IDR. For example, in the IDR, PACE is 6, but 020 in the CCW.",V2_MDCR_BENE_MAPD_ENRLMT,BENE_CVRG_TYPE_CD,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-CVRG-TYPE-CD,,"['PTC_PLAN_TYPE_CD_01', 'PTC_PLAN_TYPE_CD_02', 'PTC_PLAN_TYPE_CD_03', 'PTC_PLAN_TYPE_CD_04', 'PTC_PLAN_TYPE_CD_05', 'PTC_PLAN_TYPE_CD_06', 'PTC_PLAN_TYPE_CD_07', 'PTC_PLAN_TYPE_CD_08', 'PTC_PLAN_TYPE_CD_09', 'PTC_PLAN_TYPE_CD_10', 'PTC_PLAN_TYPE_CD_11', 'PTC_PLAN_TYPE_CD_12']",
56,Contract PBP Name,"Text label describing the PBP, usually the product name.",Coverage,"['PartC', 'PartD']",Coverage.contained.where(resourceType='Organization').name,Sample Medicare Advantage Plan,,V2_MDCR_CNTRCT_PBP_NUM,CNTRCT_PBP_NAME,,,,,,
57,Contract Plan Contact Telephone Number,A sequence of numbers that identifies a particular telephone and that must be dialed for the caller to connect to the telephone of the contact.,Coverage,"['PartC', 'PartD']",Coverage.contained.where(resourceType='Organization').contact.telecom.where(system='phone').value,1-800-555-1234,,V2_MDCR_CNTRCT_PBP_CNTCT,CNTRCT_PLAN_CNTCT_TEL_NUM,,,,,,
58,Beneficiary PDP Enrollment Member ID Number,Member ID assigned to the beneficiary.,Coverage,['PartD'],Coverage.class.where(type.coding.code='rxid').value,M123456789,,V2_MDCR_BENE_MAPD_ENRLMT_RX,BENE_PDP_ENRLMT_MMBR_ID_NUM,,,,,,
59,Beneficiary PDP Enrollment Group Number,Identifying number assigned to the cardholder group or employer group.,Coverage,['PartD'],Coverage.class.where(type.coding.code='rxgroup').value,G987654321,,V2_MDCR_BENE_MAPD_ENRLMT_RX,BENE_PDP_ENRLMT_GRP_NUM,,,,,,
60,Beneficiary PDP Enrollment Processor Number,Number assigned by the processor.,Coverage,['PartD'],Coverage.class.where(type.coding.code='rxpcn').value,P123456,,V2_MDCR_BENE_MAPD_ENRLMT_RX,BENE_PDP_ENRLMT_PRCSR_NUM,,,,,,
61,Beneficiary PDP Enrollment Bank ID Number,A card issuer identifier or a bank identifying number used for network routing.,Coverage,['PartD'],Coverage.class.where(type.coding.code='rxbin').value,BIN123456,,V2_MDCR_BENE_MAPD_ENRLMT_RX,BENE_PDP_ENRLMT_BANK_ID_NUM,,,,,,
62,Beneficiary LIS Deemed Code,Switch indicating that this record is the currently deemed a Low Income Subsidy (LIS).,Coverage,['PartD'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-CMBND-DEEMD-IND').value.code,Y,,V2_MDCR_BENE_CMBND_LIS,BENE_CMBND_DEEMD_IND,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-CMBND-DEEMD-IND,,"['CST_SHR_GRP_CD_01', 'CST_SHR_GRP_CD_02', 'CST_SHR_GRP_CD_03', 'CST_SHR_GRP_CD_04', 'CST_SHR_GRP_CD_05', 'CST_SHR_GRP_CD_06', 'CST_SHR_GRP_CD_07', 'CST_SHR_GRP_CD_08', 'CST_SHR_GRP_CD_09', 'CST_SHR_GRP_CD_10', 'CST_SHR_GRP_CD_11', 'CST_SHR_GRP_CD_12']",
63,Beneficiary LIS Copayment Level Code,A code identifying the generic level used to compute the Low Income Subsidy (LIS) co-payment amount. This generic level translates to a specific numeric value that will be used in the computation.    Reference table: BENE_CMBND_DEEMD_COPMT_LVL_ID,Coverage,['PartD'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-CMBND-DEEMD-COPMT-LVL-ID').value.code,1,,V2_MDCR_BENE_CMBND_LIS,BENE_CMBND_DEEMD_COPMT_LVL_ID,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-CMBND-DEEMD-COPMT-LVL-ID,,"['CST_SHR_GRP_CD_01', 'CST_SHR_GRP_CD_02', 'CST_SHR_GRP_CD_03', 'CST_SHR_GRP_CD_04', 'CST_SHR_GRP_CD_05', 'CST_SHR_GRP_CD_06', 'CST_SHR_GRP_CD_07', 'CST_SHR_GRP_CD_08', 'CST_SHR_GRP_CD_09', 'CST_SHR_GRP_CD_10', 'CST_SHR_GRP_CD_11', 'CST_SHR_GRP_CD_12']",
64,Beneficiary LIS Part D Premium Percentage,"Identifies the portion of the Part D premium subsidized, based on a sliding scale linked to the Federal Poverty Level (FPL) percentage. If the person is under 135% FPL the premium subsidy percent will be 100%.  If the person is 136-140% FPL the premium subsidy percent will be 75%.    If the person is 141-145% FPL the premium subsidy will be 50%.  If the person is 146-149% FPL the premium subsidy will be 25%.",Coverage,['PartD'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-CMBND-DEEMD-PRM-PCT').value,100,,V2_MDCR_BENE_CMBND_LIS,BENE_CMBND_DEEMD_PRM_PCT,,,,,"['CST_SHR_GRP_CD_01', 'CST_SHR_GRP_CD_02', 'CST_SHR_GRP_CD_03', 'CST_SHR_GRP_CD_04', 'CST_SHR_GRP_CD_05', 'CST_SHR_GRP_CD_06', 'CST_SHR_GRP_CD_07', 'CST_SHR_GRP_CD_08', 'CST_SHR_GRP_CD_09', 'CST_SHR_GRP_CD_10', 'CST_SHR_GRP_CD_11', 'CST_SHR_GRP_CD_12']",
65,Contract PBP Segment Number,Identification number for a portion of the PBP designated as a Segment.  Must be present.,Coverage,['PartD'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CNTRCT-PBP-SGMT-NUM').value,000,,V2_MDCR_CNTRCT_PBP_SGMT,CNTRCT_PBP_SGMT_NUM,,,,,"['PTD_SGMT_ID_01', 'PTD_SGMT_ID_02', 'PTD_SGMT_ID_03', 'PTD_SGMT_ID_04', 'PTD_SGMT_ID_05', 'PTD_SGMT_ID_06', 'PTD_SGMT_ID_07', 'PTD_SGMT_ID_08', 'PTD_SGMT_ID_09', 'PTD_SGMT_ID_10', 'PTD_SGMT_ID_11', 'PTD_SGMT_ID_12']",
66,Retiree Drug Subsidy Switch,A switch indicating that enrollment in Part D was requested by the beneficiary who has employer subsidy enrollment.,Coverage,['PartD'],Coverage.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/BENE-ENRLMT-EMPLR-SBSDY-SW').value,"{'system': 'https://bluebutton.cms.gov/fhir/CodeSystem/BENE-ENRLMT-EMPLR-SBSDY-SW', 'code': 'Y'}",,V2_MDCR_BENE_MAPD_ENRLMT,BENE_ENRLMT_EMPLR_SBSDY_SW,,,https://bluebutton.cms.gov/fhir/CodeSystem/BENE-ENRLMT-EMPLR-SBSDY-SW,,"['RDS_IND_01', 'RDS_IND_02', 'RDS_IND_03', 'RDS_IND_04', 'RDS_IND_05', 'RDS_IND_06', 'RDS_IND_07', 'RDS_IND_08', 'RDS_IND_09', 'RDS_IND_10', 'RDS_IND_11', 'RDS_IND_12']",
67,Claim Unique ID,An Integrated Data Repository (IDR) assigned surrogate key used to identify a claim.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.identifier.where(type.coding.system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType' and type.coding.code = 'uc' ).value,PHARM-2024-0012345,,V2_MDCR_CLM,CLM_UNIQ_ID,,['DDPS'],,['CCLF7.CUR_CLM_UNIQ_ID'],['PDE_ID'],"['Basis', 'Regular', 'CMS']"
68,Original Claim Control Number,This field contains the original claim control number for adjusted or corrected claims. It provides a reference to the prior claim that this claim is adjusting or correcting.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.identifier.where(system = 'https://bluebutton.cms.gov/identifiers/CLM-CNTL-NUM').value,CNTL20240012340,,V2_MDCR_CLM,CLM_ORIG_CNTL_NUM,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
