,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
95,Line Item Allowed Charge Amount,"THE MAXIMUM AMOUNT ALLOWED BY THE PLAN FOR PAYMENT. THE AMOUNT ELIGIBLE FOR PAYMENT AFTER APPLYING PRICING GUIDELINES/DISCOUNTS. USUALLY  INCLUDES COPAYMENT, COINSURANCE, DEDUCTIBLE, PENALTY, AND 3RD PARTY SAVINGS AMTS. FOR ENCTRS, MAY BE FFS EQUIVALENTS.",ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_ALOWD_CHRG_AMT')).amount.value,9194.22,"Technically this variable is available in partially-adjudicated claims, but is consolidated (and represented) in CLM_ALOWD_CHRG_AMT in both adjudicated + partially-adjudicated claims. Financial fields on 1XXX claim type codes should be expected to change.",V2_MDCR_CLM_LINE,CLM_LINE_ALOWD_CHRG_AMT,,"['MCS', 'NCH', 'VMS']",,"['CCLF5.CLM_LINE_ALOWD_CHRG_AMT', 'CCLF6.CLM_LINE_ALOWD_CHRG_AMT']",['LINE_ALOWD_CHRG_AMT'],"['Regular', 'CMS']"
96,Line Item Sequence Number,A NUMBER IDENTIFYING THE POSITION OF THE SERVICE OR ITEM ON THE CLAIM. THIS IS A COMPONENT OF THE 5-PART KEY USED FOR JOINING CLAIMS.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.sequence,1,,V2_MDCR_CLM_LINE,CLM_LINE_NUM,,"['FISS', 'NCH']",,"['CCLF2.CLM_LINE_NUM', 'CCLF5.CLM_LINE_NUM', 'CCLF6.CLM_LINE_NUM', 'CCLFB.CLM_LINE_NUM']","['CLM_LINE_NUM', 'LINE_NUM']","['Basis', 'Regular', 'CMS']"
97,Line Item HCPCS Code,"A CODE IDENTIFYING A HEALTHCARE COMMON PROCEDURE CODING SYSTEM (HCPCS) PROCEDURE, SUPPLY, PRODUCT, OR SERVICE PROVIDED TO A MEDICARE BENEFICIARY OR AN INDIVIDUAL ENROLLED IN PRIVATE HEALTH INSURANCE PROGRAMS.      REFERENCE TABLE: HCPCS_CD",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.productOrService.where(coding.system='http://www.ama-assn.org/go/cpt' or coding.system='https://www.cms.gov/Medicare/Coding/HCPCSReleaseCodeSets' or coding.system='http://terminology.hl7.org/CodeSystem/data-absent-reason').coding.code,99213,,V2_MDCR_CLM_LINE,CLM_LINE_HCPCS_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF2.CLM_LINE_HCPCS_CD', 'CCLF5.CLM_LINE_HCPCS_CD', 'CCLF6.CLM_LINE_HCPCS_CD']",['HCPCS_CD'],"['Basis', 'Regular', 'CMS']"
98,Line Item APC / HIPPS Code,THE AMBULATORY PAYMENT CLASSIFICATION (APC) CODE AND THE HIPPS CODE.  THE APC IS USED TO IDENTIFY GROUPINGS OF OUTPATIENT SERVICES. APC CODES ARE USED TO CALCULATE PAYMENT FOR SERVICES UNDER  OPPS.  THE APC IS A FOUR BYTE FIELD.  THE HIPPS CODES ARE USED,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.productOrService.coding.where(system='https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/ProspMedicareFeeSvcPmtGen/HIPPSCodes').code,NHNC1,,V2_MDCR_CLM_LINE_INSTNL,CLM_REV_APC_HIPPS_CD,,"['FISS', 'NCH']",,['CCLF2.CLM_REV_APC_HIPPS_CD'],['REV_CNTR_APC_HIPPS_CD'],"['Basis', 'Regular', 'CMS']"
99,National Drug Code,THE NATIONAL DRUG CODE THAT IDENTIFIES SPECIFIC DRUGS.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.detail.productOrService.where(coding.system='http://hl7.org/fhir/sid/ndc').coding.code,00409189001,,V2_MDCR_CLM_LINE,CLM_LINE_NDC_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,,"['LINE_NDC_CD', 'REV_CNTR_IDE_NDC_UPC_NUM']","['Basis', 'Regular', 'CMS']"
100,Line Item NDC Quantity,THE QUANTITY OF AN NDC APPLICABLE TO INSTITUTIONAL CLAIMS.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.detail.where(productOrService.where(coding.system='http://hl7.org/fhir/sid/ndc')).quantity.value,1000,,V2_MDCR_CLM_LINE,CLM_LINE_NDC_QTY,,"['FISS', 'MCS', 'NCH']",,,['REV_CNTR_NDC_QTY'],"['Basis', 'Regular', 'CMS']"
101,Line Item NDC Quantity Qualifier Code,"QUALIFIES THE TYPE OF QUANTITY APPLICABLE TO AN NDC PRESENT ON ALL INSTITUTIONAL CLAIM TYPES (INPATIENT/SNF, OUTPATIENT, HOME HEALTH AND HOSPICE.",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.detail.where(productOrService.where(coding.system='http://hl7.org/fhir/sid/ndc')).quantity.code,g,,V2_MDCR_CLM_LINE,CLM_LINE_NDC_QTY_QLFYR_CD,,"['FISS', 'MCS', 'NCH']",,,['REV_CNTR_NDC_QTY_QLFR_CD'],"['Basis', 'Regular', 'CMS']"
102,Line Item Service Unit Quantity,THE TOTAL UNITS BILLED FOR A CLAIM LINE.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.quantity.value,3,"For processing claims, this field is the unit quantity for a line item value. Eg for 54 minutes of anesthesia in a processing claim, this field will contain a value of 5.4, whereas in a claim from the National Claims History, the anesthesia units may appear in CLM_LINE_PRFNL_MTUS_CNT.",V2_MDCR_CLM_LINE,CLM_LINE_SRVC_UNIT_QTY,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF2.CLM_LINE_SRVC_UNIT_QTY', 'CCLF5.CLM_LINE_SRVC_UNIT_QTY']","['LINE_SRVC_CNT', 'REV_CNTR_UNIT_CNT']","['Basis', 'Regular', 'CMS']"
103,Line Item Revenue Center Code,"A UNIQUE IDENTIFIER OF A UNIFORM BILLING REVENUE TYPE,     THE PROVIDER-ASSIGNED REVENUE CODE FOR EACH COST CENTER FOR WHICH A SEPARATE CHARGE IS BILLED (TYPE OF ACCOMMODATION OR ANCILLARY). A COST CENTER IS A DIVISION OR UNIT WITHIN A HOSPITAL (E.G., RADIOLOGY, EMERGENCY ROOM, PATHOLOGY).  EXCEPTION: REVENUE CENTER CODE 0001 REPRESENTS THE TOTAL OF ALL REVENUE CENTERS INCLUDED ON THE CLAIM. (NCH)    EXAMPLE: 0123 = SEMI-PRIVATE 2 BED (MEDICAL OR GENERAL)-PEDIATRIC",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.revenue.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-REV-CNTR-CD').code,0636,,V2_MDCR_CLM_LINE,CLM_LINE_REV_CTR_CD,,"['FISS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-LINE-REV-CTR-CD,['CCLF2.CLM_LINE_PROD_REV_CTR_CD'],['REV_CNTR'],"['Basis', 'Regular', 'CMS']"
104,Line Item Revenue Center Code,CODE INDICATING WHETHER THE REVENUE CENTER CHARGES ARE SUBJECT TO DEDUCTIBLE AND/OR COINSURANCE. [NCH],ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.revenue.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-DDCTBL-COINSRNC-CD').code,M,,V2_MDCR_CLM_LINE_INSTNL,CLM_DDCTBL_COINSRNC_CD,,"['FISS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-DDCTBL-COINSRNC-CD,,['REV_CNTR_DDCTBL_COINSRNC_CD'],['CMS']
105,HCPCS Modifier Code 1,(1) A FIRST MODIFIER TO THE PROCEDURE CODE TO ENABLE A MORE SPECIFIC PROCEDURE IDENTIFICATION FOR THE CLAIM [NCH]    (2) A FIRST MODIFIER TO THE HCPCS PROCEDURE CODE TO ENABLE A MORE SPECIFIC PROCEDURE IDENTIFICATION FOR THE LINE ITEM SERVICE ON THE NONINSTITUTIONAL CLAIM. [NCH],ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.modifier[0].coding.code,A2,,V2_MDCR_CLM_LINE,HCPCS_1_MDFR_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF2.HCPCS_1_MDFR_CD', 'CCLF5.HCPCS_1_MDFR_CD']",['HCPCS_1ST_MDFR_CD'],"['Basis', 'Regular', 'CMS']"
106,HCPCS Modifier Code 2,(1) A SECOND MODIFIER TO THE PROCEDURE CODE TO MAKE IT MORE SPECIFIC THAN THE FIRST MODIFIER CODE TO IDENTIFY THE PROCEDURES PERFORMED ON THE BENEFICIARY FOR THE CLAIM [NCH]  (2) A SECOND MODIFIER TO THE HCPCS PROCEDURE CODE TO MAKE IT MORE SPECIFIC THAN THE FIRST MODIFIER CODE TO IDENTIFY THE LINE ITEM PROCEDURES FOR THIS CLAIM. [NCH],ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.modifier[1].coding.code,99,,V2_MDCR_CLM_LINE,HCPCS_2_MDFR_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF2.HCPCS_2_MDFR_CD', 'CCLF5.HCPCS_2_MDFR_CD']",['HCPCS_2ND_MDFR_CD'],"['Basis', 'Regular', 'CMS']"
107,HCPCS Modifier Code 3,"(1) EFFECTIVE WITH NCH VERSION I, A THIRD MODIFIER TO THE PROCEDURE CODE TO MAKE  IT MORE SPECIFIC THAN THE SECOND MODIFIER CODE TO IDENTIFY THE PROCEDURES PERFORMED ON THE BENEFICIARY FOR THE CLAIM. [NCH]  (2) PRIOR TO NCH VERSION H THIS FIELD WAS NAMED: HCPCS_3RD_MDFR_CD. [NCH]",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.modifier[2].coding.code,,,V2_MDCR_CLM_LINE,HCPCS_3_MDFR_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF2.HCPCS_3_MDFR_CD', 'CCLF5.HCPCS_3_MDFR_CD']",['HCPCS_3RD_MDFR_CD'],"['Basis', 'Regular', 'CMS']"
108,HCPCS Modifier Code 4,"(1) EFFECTIVE WITH VERSION I, A FOURTH MODIFIER TO THE PROCEDURE CODE TO MAKE IT MORE SPECIFIC THAN THE THIRD MODIFIER CODE TO IDENTIFY THE PROCEDURES PERFORMED ON THE BENEFICIARY FOR THE CLAIM. [NCH]  (2) PRIOR TO VERSION H THIS FIELD WAS NAMED: HCPCS_4TH_MDFR_CD. [NCH]",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.modifier[3].coding.code,,,V2_MDCR_CLM_LINE,HCPCS_4_MDFR_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF2.HCPCS_4_MDFR_CD', 'CCLF5.HCPCS_4_MDFR_CD']",['HCPCS_4TH_MDFR_CD'],"['Basis', 'Regular', 'CMS']"
109,HCPCS Modifier Code 5,"EFFECTIVE WITH NCH VERSION I, A FIFTH MODIFIER TO THE PROCEDURE CODE TO MAKE IT MORE SPECIFIC THAN THE FOURTH MODIFIER CODE TO IDENTIFY THE PROCEDURES PERFORMED ON THE BENEFICIARY FOR THE CLAIM. [NCH]",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.modifier[4].coding.code,,,V2_MDCR_CLM_LINE,HCPCS_5_MDFR_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF2.HCPCS_5_MDFR_CD', 'CCLF5.HCPCS_5_MDFR_CD']",,"['Basis', 'Regular', 'CMS']"
110,Claim Line Institutional Rate Amount,"CHARGES RELATING TO UNIT COST ASSOCIATED WITH THE REVENUE CENTER CODE.  EXCEPTION (ENCOUNTER DATA ONLY):  IF PLAN (E.G. MCO) DOES NOT KNOW THE ACTUAL RATE FOR THE ACCOMMODATIONS, $1 WILL BE REPORTED IN THE FIELD.  NOTE1:  FOR SNF PPS CLAIMS (WHEN REVENUE CENTER CODE EQUALS 0022), CMS HAS DEVELOPED A SNF PRICER TO COMPUTE THE RATE BASED ON THE PROVIDER SUPPLIED CODING FOR THE MDS RUGS III GROUP AND ASSESSMENT TYPE (HIPPS CODE, STORED IN REVENUE CENTER HCPCS CODE FIELD).  NOTE2:  FOR OP PPS CLAIMS, CMS HAS DEVELOPED A PRICER TO COMPUTE THE RATE BASED ON THE AMBULATORY PAYMENT CLASSIFICATION (APC), DISCOUNT FACTOR, UNITS OF SERVICE AND THE WAGE INDEX.  NOTE3:  UNDER HH PPS (WHEN REVENUE CENTER CODE EQUALS 0023), CMS HAS DEVELOPED A HHA PRICER TO COMPUTE THE RATE.  ON THE RAP, THE RATE IS DETERMINED USING THE CASE MIX WEIGHT ASSOCIATED WITH THE HIPPS CODE, ADJUSTING IT FOR THE WAGE INDEX FOR THE BENEFICIARYS SITE OF SERVICE, THEN MULTIPLYING THE RESULT BY 60% OR 50%, DEPENDING ON WHETHER OR NOT THE RAP IS FOR A FIRST EPISODE.  ON THE FINAL CLAIM, THE HIPPS CODE COULD CHANGE THE PAYMENT IF THE THERAPY THRESHOLD IS NOT MET, OR PARTIAL EPISODE PAYMENT (PEP) ADJUSTMENT OR A SIGNIFICANT CHANGE IN CONDITION (SCIC) ADJUSTMENT. IN CASES OF SCICS, THERE WILL BE MORE THAN ONE 0023 REVENUE CENTER LINE, EACH REPRESENTING THE PAYMENT MADE AT EACH CASE-MIX LEVEL.  NOTE4:  FOR IRF PPS CLAIMS (WHEN REVENUE CENTER CODE EQUALS 0024), CMS HAS DEVELOPED A PRICER TO COMPUTE THE RATE BASED ON THE HIPPS/CMG (HIPPS CODE, STORED IN REVENUE CENTER HCPCS CODE FIELD). [NCH]",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_INSTNL_RATE_AMT')).amount.value,0.85,,V2_MDCR_CLM_LINE_INSTNL,CLM_LINE_INSTNL_RATE_AMT,,"['FISS', 'NCH']",,,['REV_CNTR_RATE_AMT'],['CMS']
111,Claim Line Adjustment Reason Code 1,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-RSN-CD').code,B7,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_1_REV_CNTR_ANSI_RSN_CD,,['NCH'],,['CCLFA.CLM_1_REV_CNTR_ANSI_RSN_CD'],['REV_CNTR_1ST_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
112,Claim Line Adjustment Group Code 1,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-GRP-CD').code,PR,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_1_REV_CNTR_ANSI_GRP_CD,,['NCH'],,['CCLFA.CLM_1_REV_CNTR_ANSI_GRP_CD'],['REV_CNTR_1ST_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
113,Claim Line Adjustment Reason Code 2,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-RSN-CD').code,B7,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_2_REV_CNTR_ANSI_RSN_CD,,['NCH'],,,['REV_CNTR_2ND_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
114,Claim Line Adjustment Group Code 2,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-GRP-CD').code,PR,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_2_REV_CNTR_ANSI_GRP_CD,,['NCH'],,,['REV_CNTR_2ND_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
115,Claim Line Adjustment Reason Code 3,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-RSN-CD').code,B7,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_3_REV_CNTR_ANSI_RSN_CD,,['NCH'],,,['REV_CNTR_3RD_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
116,Claim Line Adjustment Group Code 3,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-GRP-CD').code,PR,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_3_REV_CNTR_ANSI_GRP_CD,,['NCH'],,,['REV_CNTR_3RD_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
117,Claim Line Adjustment Reason Code 4,"AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) CLAIM ADJUSTMENT REASON CODE (CARC) IDENTIFYING THE REASON FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE THAT RESULTED IN A DIFFERENCE BETWEEN THE ORIGINAL BILLED AMOUNT AND THE FINAL PAID AMOUNT. AN ADJUSTMENT CAN RESULT IN A DENIAL, REDUCTION, OR INCREASE  IN PAYMENT.  FOR EXAMPLE:  1 = DEDUCTIBLE AMOUNT  B1 = NON-COVERED VISITS",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-RSN-CD').code,B7,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_4_REV_CNTR_ANSI_RSN_CD,,['NCH'],,,['REV_CNTR_4TH_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
118,Claim Line Adjustment Group Code 4,AN AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) GROUP CODE IDENTIFYING WHO HAS FINANCIAL RESPONSIBILITY FOR AN ADJUSTMENT TO A CLAIM OR SERVICE LINE  THAT RESULTED IN IT BEING PAID DIFFERENTLY THAN IT WAS BILLED. THIS GROUP CODE WORKS IN CONJUNCTION WITH A CLAIM ADJUSTMENT REASON CODE (CARC).  FOR EXAMPLE:  PR = PATIENT RESPONSIBILITY (PATIENT IS FINANCIALLY LIABLE)  CO = CONTRACTUAL OBLIGATIONS (PROVIDER IS FINANCIALLY LIABLE),ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.reason.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/ANSI-GRP-CD').code,PR,ANSI reason and group codes are unordered.,V2_MDCR_CLM_ANSI_SGNTR,CLM_4_REV_CNTR_ANSI_GRP_CD,,['NCH'],,,['REV_CNTR_4TH_ANSI_CD'],"['Basis', 'Regular', 'CMS']"
119,Non-Covered Charge Amount,THE CHARGE AMOUNT RELATED TO A REVENUE CENTER CODE FOR SERVICES THAT ARE NOT COVERED BY MEDICARE.    NOTE:  PRIOR TO NCH VERSION H THE FIELD SIZE WAS S9(7)V99 AND THE ELEMENT WAS ONLY PRESENT ON THE INPATIENT/SNF FORMAT. AS OF NCH WEEKLY PROCESS DATE 10/3/97 THIS FIELD WAS ADDED TO ALL INSTITUTIONAL CLAIM TYPES. [NCH],ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_NCVRD_CHRG_AMT')).amount.value,0.1,,V2_MDCR_CLM_LINE,CLM_LINE_NCVRD_CHRG_AMT,,"['FISS', 'NCH']",,,['REV_CNTR_NCVRD_CHRG_AMT'],"['Regular', 'CMS']"
