Source system,Field name,Source copybook field label,RDA API field label,Category,Copybook data dictionary name (if different),Source system definition,Plain language definition,Additional context ,Enum Y/N,Source system field types and values according to their documentation,Copybook source,Version added,CCLF Mapping,CCW Mapping ,837 Mapping ,FISS <> MCS Mapping,Open questions 
FISS,Adjustment Reason Code,ADJ-REAS-CD,fiss_claims.adj_reas_cd,Claim processing,n/a,"This field identifies the type of adjustment being performed on the claim. For automated claims, the system sets this field. For manual adjustments, the employee enters this field.",,There are many reason codes and they can be defined definitely by different Medicare Administrative Contractors.,N,"Alphanumeric, 2 characters
See Table 1, Adjustment Reason Codes in the FISS Quick Reference, copied in tab C for convenience. ",FSRCCLXB,0.5,,,,,"There are values in the sample data (e.g., AC, BE, CC) that aren't defined in the table from the FISS Quick Reference document. Where would we find the meanings of these codes? Is there any relationship between these reason codes and the X12 claim adjustment reason codes? https://x12.org/codes/claim-adjustment-reason-codes"
FISS,Adjustment Requestor Identification,ADJ-REQ-CD,fiss_claims.adj_req_cd,Claim processing,n/a,This field identifies the entity responsible for the origin of the claim adjustment,,,Y,"Alphanumeric, 1 character
F = Fiscal Intermediary 
H = Hospital / Provider
P = Peer Review Organization 
S = System",FSRCCLXB,0.5,,,,,
FISS,Admission Date,ADM-DATE-CYMD,fiss_claims.adm_date_cymd,Service information,n/a,This is a group level field that identifies the date of the patient's admission to this provider or the date Home Health services began; for the record depending on the copybook it is used in.,,This field is also provided as raw string text in the field fiss_claims.adm_date_cymd_text in case an invalid date is provided by the system,N,Date format,FSRCCLXS,0.5,,,,,
FISS,Admitting Diagnosis Code,ADM-DIAG-CD,fiss_claims.adm_diag_cd,Service information,n/a,This field identifies the diagnosis code describing the inpatient condition at the time of the admission; for the record depending on the copybook it is used in.,,"This field uses ICD-10 codes, which range in length from 3 to 7 characters.",N,"7 digits, alphanumeric",FSRCCLXS,0.1,,,,,
FISS,Source of Admission,ADM-SOURCE,fiss_claims.adm_source,Service information,n/a,This field identifies the way a patient was referred to the hospital for admission.,,,Y,"Alphanumeric, 1 character.
See Table 139, Source of Admission Codes, from the FISS Quick Reference, copied in tab C for convenience. ",FSRCCLXB,0.5,,,,,
FISS,Attending Physician Flag,ATTEND-PHYS-FLAG,fiss_claims.attend_phys_flag,Provider information,n/a,This field identifies whether an attending physician identification number is present.,,,,"Alphanumeric, 1 character

'N' = No",FSRCCLXB,0.5,,,,,
FISS,Attending Physician First Name,ATTEND-PHYS-FNAME,fiss_claims.attend_phys_fname,Provider information,n/a,This field identifies the first name of the attending physician.,,,,"Alphanumeric, 18 characters",FSRCCLXB,0.5,,,,,
FISS,Attending Physician Last Name,ATTEND-PHYS-LNAME,fiss_claims.attend_phys_lname,Provider information,n/a,This field identifies the last name of the attending physician.,,,,"Alphanumeric, 17 characters",FSRCCLXB,0.5,,,,,
FISS,Attending Physician Middle Initial,ATTEND-PHYS-MINT,fiss_claims.attend_phys_mint,Provider information,n/a,This field identifies the middle initial of the attending physician.,,,,"Alphanumeric, 1 character",FSRCCLXB,0.5,,,,,
FISS,Attending Physician NPI,ATTEND-PHYS-NPI-NUM,fiss_claims.attend_phys_npi_num,Provider information,n/a,"This field identifies the attending physician NPI number assigned by the Centers for Medicare and Medicaid Services (CMS). This is an intelligence free number; meaning that the numbers do not carry information about health care providers, such as the state in which they practice or their provider type or specialization. The provider’s NPI will not change and will remain with the provider regardless of job or location changes.",,,,"Numeric, 10 characters",FSRCCLXB,0.5,,,,,
FISS,Billing Type Code,BILL-TYP-CD,fiss_claims.bill_typ_cd,Claim information,n/a,"This field is the group level name of the data containing the type of facility, bill classification, and frequency of the claim in a particular period of care.",,"This field is a concatenation of the following three fields: lob_cd, serv_typ_cd, and freq_cd. ",,"Alphanumeric, 3 digits 

See Table 147, Table 148, Table 149, Table 150, and Table 151 in the FISS Quick Reference, copied in tab C for convenience.",FSRCCLXS,0.4,,,,,
FISS,Cancel Adjustment Code,CANC-ADJ-CD,                                                                                                                                                               ,Claim processing,n/a,This field identifies the reason for a cancel without a corresponding repayment.,,,Y,"Alphanumeric, 1 character
B = Home Health Prospective Payment System (HHPPS) final not received
C = Coverage
D = Duplicate
E = Provider cancelled episode
F = Fiscal Intermediary cancelled episode
H = Other
P = Plan Transfer
S = Scramble HIC",FSRCCLXB,0.5,,,,,
FISS,Cancel Date,CANCEL-DATE-CYMD,fiss_claims.cancel_date_cymd,Claim processing,n/a,This field is the group level name comprised of the Cancel Date. It identifies the date of cancellation of original payment when an adjustment has been process through the system.,,This field is populated on the parent claim that is being adjusted/canceled.,N,CC-YY-MM-DD date format,FSRCCLXS,0.5,,,,,
FISS,Cancel Cross-reference Document Control Number,CANCEL-XREF-DCN,fiss_claims.cancel_xref_dcn,Claim processing,n/a,"This field is the identification number of the canceled claim and is only used on cancel and adjustment transactions. It provides a cross-reference number for the control and monitoring of specific claims, and to differentiate between claims for the beneficiary. This is a unique field created by the system when a match is found during the re-imaging process and is located on claim page 2 as the AD.DCN.",,This field is populated on the parent claim that is being adjusted or canceled.,N,"Alphanumeric, 23 characters",FSRCCLXB,0.5,,,,,
FISS,Current Location 1,CURR-LOC-1,fiss_claims.curr_loc_1,Claim processing,n/a,This field identifies the type of processing occurring on the claim.,,"Claims in ""Offline"" processing will not be visible through the MPSM data replication process. As a result, RDA API users will not receive claims with an ""O"" location. For more information on status and location codes, see the FISS specification named ""Intro-Status-Location.""",,"1 character, alphanumeric
Batch processing = 'B'
Manual processing = 'M'
Offline processing = 'O'",FSRCCLXS,0.1,,,,,
FISS,Current Location 2,CURR-LOC-2,fiss_claims.curr_loc_2,Claim processing,n/a,This field contains the last four positions of the Location field. The second and third position represents the driver name. The fourth and fifth positions allow for more definition with the driver for the location.,,"For more information on status and location codes, see the FISS specification named ""Intro-Status-Location.""",N,"There are many possible location values. See the Location Codes table from the Intro-Status-Location document, copied in tab C for convenience. 
Here are a few common values: 
Preprocessing = '0100' 
Unmatched' = '01LC' 
Cable = '9000' 
Cabled = '9900'
Floor = '9996'
Final = '9997'
Offline = '9998'
Cross Walk Down = '019M'
Post Pay = '7500' to '7599'",FSRCCLXS,0.1,,,,,
FISS,Current Status,CURR-STATUS,fiss_claims.curr_status,Claim processing,n/a,"This field identifies the current condition of the claim (paid, reject, deny, etc.); for the record depending on the copybook it is used in.",,"The purpose of the CURR-STATUS, CURR-LOC1 and CURR-LOC2 fields are to route claims through FISS. 
 Medicare Administrative Contractors (MACs) establish how status and location fields are assigned to claims depending on the ""reason codes"" that are set as the outcome of specific adjudication processes. 
For more information, see the FISS specification named ""Intro-Status-Location."" ",Y,"1 character, alphanumeric
See Table 1, Status Codes from the Intro-Status-Location document, copied in tab C for convenience. ",FSRCCLXS,0.1,,,,,
FISS,Current Transaction Date,CURR-TRAN-DT-CYMD,fiss_claims.curr_tran_dt_cymd,Claim processing,n/a,This field is the group level name for the transaction date of the claim; the last date the Status/Location changed or the claim was updated.,,This field is updated every time there is a change to the claim.,N,Date,FSRCCLXS,0.1,,,,,
FISS,Document Control Number,DCN,fiss_claims.dcn,Claim information,n/a,"This field is the identification number for a claim. It provides a reference number for the control and monitoring of specific claims, and to differentiate between claims for the beneficiary; it may be used to access data for the record depending on the copybook it used for. This is a unique field created by the system.",,,N,"23 digits, alphanumeric",FSRCCLXS,0.1,,,,,
FISS,Federal Tax Number,FED-TAX-NB,fiss_claims.fed_tax_nb,Provider information,n/a,This field identifies the number assigned to the provider by the Federal Government for tax reporting purposes. It is also known as a tax identification number (TIN) or an employer identification number (EIN).,,"Based on the sample data, in some cases only one of the NPI number or Federal Tax Number are populated; in some cases both fields are populated.",N,"10 digits, alphanumeric",FSRCCLXB,,,,,,
FISS,Bill Frequency,FREQ-CD,fiss_claims.freq_cd,Claim information,n/a,This field contains the frequency code indicating the adjustment type. This is the last position of the Bill Type Code group field.,,This field can be used to determine if a claim is an adjustment to a previous claim.,,"Alphanumeric, 1 digit

See the FISS Quick Reference, Table 151, copied in tab C for convenience.",FSRCCLXS,0.4,,,,,
FISS,Fully or Partially Denied Indicator,FULL-PART-DEN-IND,fiss_claims.full_part_den_ind,Claim processing,n/a,This is a field that indicates whether a claim was fully or partially denied; for the record depending on the copybook it is used in.,,,N,"Alphanumeric, 1 characters
",FSRCCLXS,0.5,,,,,
FISS,Health Insurance Claim Number,HIC-NO,fiss_claims.hic_no,Beneficiary information,n/a,"This field identifies the patient/beneficiary number associated with a claim record, which is assigned to the beneficiary by the Centers for Medicare and Medicaid Services (CMS), and may be used to access data for the record depending on the copybook it is used in.",,"HIC numbers have been replaced by MBIs on Medicare cards and all claims since 1/1/20 must provide an MBI. However, HIC numbers are still used for internal processing, and can be used in certain situations, such as appeals, adjustments, and claim status queries. (Reference: https://www.cms.gov/Medicare/New-Medicare-Card)",N,"12 digits, alphanumeric 

HIC numbers are up to 11 digits (usually 10 or 11, consisting of an SSN followed by 1 or 2 alphanumeric characters)",FSRCCLXS,0.1,,,,,"Why is this field 12 characters if a HICN is usually 10 or 11 digits, never 12? "
FISS,Location of Bill Code,LOB-CD,fiss_claims.lob_cd,Claim information,n/a,This field indicates the type of facility of the corresponding Bill Type Code group field.,,,,"Numeric, 1 digit

See the FISS Quick Reference, Table 147, copied on tab C for convenience",FSRCCLXS,0.4,,,,,
FISS,Medicare Beneficiary Identifier,MBI,fiss_claims.mbi,Beneficiary information,n/a,This field identifies the Medicare Beneficiary Identifier assigned to the beneficiary by CMS.,,"All FISS claims will have an MBI.
A beneficiary should only have 1 MBI, except in rare cases.  
Per this CMS webpage on MBIs, claims with a service date from 1/1/20 or later need to use MBI.",N,"11 digits, alphanumeric

MBI are always 11 digits",FSRCCLXS,0.1,,,,,
FISS,Health Insurance Claim (HIC) Number or Medicare Beneficiary Identify (MBI),MBI-SUBM-BENE-IND,fiss_claims.mbi_subm_bene_ind,Beneficiary information,n/a,This field describes the HIC or MBI Beneficiary indicator.,,,Y,"Alphanumeric, 1 character

H = HIC

M = MBI
Blank = Unknown",FSRCCLXB,0.5,,,,,
FISS,Medicare Provider Number 1-6,MEDA-PROV-6,fiss_claims.meda_prov_6,Provider information,n/a,This group level field contains the locality state code and the identification number of the provider.,,"The locality state code is 2 digits (PROV-STATE-CD), the identification number is 4 digits and is comprised of PROV-TYPE-FACIL-CD, PROV-EMER-IND, and two filler fields.",N,"6 digits, alphanumeric",FSRCCLXS,,,,,,
FISS,Medicare Provider ID,MEDA-PROV-ID,fiss_claims.meda_prov_id,Provider information,n/a,This field identifies the Medicare Provider number as assigned by CMS for identification of the provider rendering Medicare services.,,"The Medicare Provider ID consists of the following:
Provider State Code
Provider Type Facility Code
Provider Emergency Indicator
Provider Department Identification",N,"Up to 13 digits, alphanumeric",FSRCCLXS,0.1,,,,,
FISS,Medical Record Number,MEDICAL-RECORD-NO,fiss_claims.medical_record_no,Beneficiary information,n/a,This field identifies the number assigned to the patient’s medical/health record by the provider.,,,N,"Alphanumeric, 17 characters",FSRCCLXB,0.5,,,,,
FISS,New Health Insurance Claim Number,NEW-HIC,fiss_claims.new_hic,Beneficiary information,n/a,"This field identifies the correct HIC number to be entered, when a Y has been entered in the Process New Health Insurance Claim field. The system processes the claim based on this HIC number entered and establishes a Beneficiary File for this new HIC number.",,,Y,"Alphanumeric, 12 characters",FSRCCLXB,0.5,,,,,
FISS,Non-Pay Code Indicator,NON-PAY-IND,fiss_claims.non_pay_ind,Claim processing,n/a,"This field identifies the reason for Medicare's decision not to make payment. The code had been expanded from one to two position field, and the second position can be a blank.",,,N,"Alphanumeric, 2 characters
Refer to Table 59 in the FISS Quick Reference, copied in tab C for convenience.",FSRCCLXS,0.5,,,,,
FISS,National Provider Identification (NPI) Number,NPI-NUMBER,fiss_claims.npi_number,Provider information,n/a,"This field contains the number as assigned by the Centers for Medicare and Medicaid Services (CMS) and is used to identify health plans, providers, and clearinghouses for the copybook it is used in, and may be used to access data for the record. The NPI, which contains no embedded information about the health care provider it identifies, never changes. It may be deactivated and then reactivated, but it does not expire. Individual providers will be assigned one NPI number and organizations will be assigned one NPI number; however, organizations may define themselves as having subparts and receive multiple NPIs. This field may be used to Cross walk to the Online Survey Certification and Reporting System (OSCAR) number.",,"NPIs are issued by the National Plan and Provider Enumeration System (NPPES). 

Medicare Provider Numbers are still issued but have been renamed ""CMS Certification Numbers"" or CCN to avoid confusion with the NPI. 

Reference: DHHS guidance on NPI and CCN",N,"10 digits, numeric",FSRCCLXS,0.1,,,,,
FISS,Operating Physician Flag,OPER-PHYS-FLAG,fiss_claims.oper_phys_flag,Provider information,n/a,This field identifies whether an operating physician identification number is present.,,,Y,"Alphanumeric, 1 character

'N' = No",FSRCCLXB,0.5,,,,,
FISS,Operating Physician First Name,OPER-PHYS-FNAME,fiss_claims.oper_phys_fname,Provider information,n/a,This field identifies the first name of the operating physician.,,,N,"Alphanumeric, 18 characters",FSRCCLXB,0.5,,,,,
FISS,Operating Physician Last Name,OPER-PHYS-LNAME,fiss_claims.oper_phys_lname,Provider information,n/a,This field identifies the last name of the operating physician.,,,N,"Alphanumeric, 17 characters",FSRCCLXB,0.5,,,,,
FISS,Operating Physician Middle Initial,OPER-PHYS-MINT,fiss_claims.oper_phys_mint,Provider information,n/a,This field identifies the middle initial of the operating physician.,,,N,"Alphanumeric, 1 character",FSRCCLXB,0.5,,,,,
FISS,Operating Physician NPI,OPER-PHYS-NPI-NUM,fiss_claims.oper_phys_npi_num,Provider information,n/a,"This field identifies the attending physician NPI number assigned by the Centers for Medicare and Medicaid Services (CMS). This is an intelligence free number; meaning that the numbers do not carry information about health care providers, such as the state in which they practice or their provider type or specialization. The provider’s NPI will not change and will remain with the provider regardless of job or location changes.",,,N,"Numeric, 10 characters",FSRCCLXB,0.5,,,,,
FISS,Original Cross-Reference Document Control Number,ORIGINAL-XREF-DCN,fiss_claims.original_xref_dcn,Claim processing,n/a,This field identifies an internal field containing the original XREF DCN found on claim page 6.,,Need more research here to understand what this field means,N,"Alphanumeric, 23 characters",FSRCCLXB,0.5,,,,,
FISS,Other Physician Flag,OTH-PHYS-FLAG,fiss_claims.oth_phys_flag,Provider information,n/a,This field identifies whether an assisting licensed physician identification number is present.,,,Y,"Alphanumeric, 1 character

'N' = No",FSRCCLXB,0.5,,,,,
FISS,Other Physician First Name,OTH-PHYS-FNAME,fiss_claims.oth_phys_fname,Provider information,n/a,This field identifies the first name of the assisting licensed physician.,,,N,"Alphanumeric, 18 characters",FSRCCLXB,0.5,,,,,
FISS,Other Physician Last Name,OTH-PHYS-LNAME,fiss_claims.oth_phys_lname,Provider information,n/a,This field identifies the last name of the assisting licensed physician.,,,N,"Alphanumeric, 17 characters",FSRCCLXB,0.5,,,,,
FISS,Other Physician Middle Initial,OTH-PHYS-MINT,fiss_claims.oth_phys_mint,Provider information,n/a,This field identifies the middle initial of the assisting licensed physician.,,,N,"Alphanumeric, 1 character",FSRCCLXB,0.5,,,,,
FISS,Other Physician NPI,OTH-PHYS-NPI-NUM,fiss_claims.oth_phys_npi_num,Provider information,n/a,"This field identifies the assisting licensed physician NPI number assigned by the Centers for Medicare and Medicaid Services (CMS. This is an intelligence free number; meaning that the numbers do not carry information about health care providers, such as the state in which they practice or their provider type or specialization. The provider’s NPI will not change and will remain with the provider regardless of job or location changes.",,,N,"Numeric, 10 characters",FSRCCLXB,0.5,,,,,
FISS,Paid Date,PAID-DT-CYMD,fiss_claims.paid_dt_cymd,Claim processing,n/a,This is a group level field that identifies the date the claim is paid; for the record depending on the copybook it is used in.,,,N,Date format,FSRCCLXS,0.5,,,,,
FISS,Practice Location Address 1,PRAC_LOC-ADDR1,fiss_claims.prac_loc_addr1,Service information,n/a,This field identifies the first address of the Provider practice hospital location extracted from the Provider Enrollment Chain and Ownership System (PECOS) file.,,These practice location fields are blank in most of the sample data that the RDA API team has received as of August 2021.,N,"55 characters, alphanumeric",FSRCCLXB,0.2,,,,,
FISS,Practice Location Address 2,PRAC_LOC-ADDR2,fiss_claims.prac_loc_addr2,Service information,n/a,This field identifies the second address of the Provider practice hospital location extracted from the Provider Enrollment Chain and Ownership System (PECOS) file.,,"This field should be interpreted as ""Address Line 2"" for the Provider location.",N,"55 characters, alphanumeric",FSRCCLXB,0.2,,,,,
FISS,Practice Location City,PRAC-LOC-CITY,fiss_claims.prac_loc_city,Service information,n/a,This field identifies the city address of the Provider practice hospital location extracted from the Provider Enrollment Chain and Ownership System (PECOS) file.,,,N,"30 characters, alphanumeric",FSRCCLXB,0.2,,,,,
FISS,Practice Location State,PRAC-LOC-STATE,fiss_claims.prac_loc_state,Service information,n/a,This field identifies the state address of the Provider practice hospital location extracted from the Provider Enrollment Chain and Ownership System (PECOS) file.,,,N,"2 characters, alphanumeric",FSRCCLXB,0.2,,,,,
FISS,Practice Location Zip,PRAC-LOC-ZIP,fiss_claims.prac_loc_zip,Service information,n/a,This field identifies the zip code address of the Provider practice hospital location extracted from the Provider Enrollment Chain and Ownership System (PECOS) file.,,,N,"15 characters, alphanumeric",FSRCCLXB,0.2,,,,,
FISS,Primary Payer Code,PRIMARY-PAYER-CODE,fiss_claims.primary_payer_code,Payer and insured information,n/a,"This field identifies the primary payer as qualified by the payer. For example: When a 'Z' is entered as the primary payer code identifying Medicare as a payer, and the payer name Medicare must be entered as well.",,,,"Alphanumeric, 1 characters
1 = Medicaid
2 = Blue Cross
3 = Other
4 = None
A = Working Aged
B = End Stage Renal Disease (ESRD) beneficiary in 12 month coordination period with an EGHP (employer group health plan)
C = Conditional Payment
D = Auto No-Fault
E = Workers Compensation
F = Public Health Service or Other Federal Agency
G = Disabled
H = Black lung
I = Veterans Administration
L = Liability
Z = Medicare",FSRCCLXS,0.4,,,,,
FISS,Principal Diagnosis Code,PRINCIPLE-DIAG,fiss_claims.principle_diag,Service information,n/a,This field identifies the ICD-9-CM code relating to the condition established after study to be chiefly responsible for treatment identified in the claim; for the record depending on the copybook it is used in.,,"This field should correspond to the first entry in the Diagnosis Codes table. 

",N,"7 digits, alphanumeric
Refer to the ICD manual for valid codes.",FSRCCLXS,0.1,,,,,This field is blank in all the FISS de-identified records obtained by RDA API team as of 11/22/2021. 
FISS,Process new Health Insurance Claim Number,PROC-NEW-HIC-IND,fiss_claims.proc_new_hic_ind,Beneficiary information,n/a,This field identifies that an entry is required in this field when the HIC number is incorrect on the claim that is being entered.,,,Y,"Alphanumeric, 1 character
E = The new HIC entered is cross-referenced on the Beneficiary file and this cross-reverenced HIC is also cross-referenced. The chain continues for 25 HICs, or the NEW HIC number is in a cross-reference loop.

Y = Incorrect HIC number, process new HIC number.

S = The cross-referenced HIC number on the beneficiary file is the same as the original HIC number on the claim.",FSRCCLXB,0.5,,,,,
FISS,Provider Department Identification,PROV-DEPT-ID,fiss_claims.prov_dept_id,Provider information,n/a,"This field is the 7th through 9th positions of the Provider Identification group level field, indicating the department identification of the provider.",,,N,"3 digits, alphanumeric",FSRCCLXS,0.1,,,,,"Some sample FISS claims have values of A,B, C, and 001 (or blank). What do these values indicate?"
FISS,Provider Emergency Indicator,PROV-EMER-IND,fiss_claims.prov_emer_ind,Provider information,n/a,"This field is the 4th position of the Provider Identification group level field, it identifies the code indicating the priority of the admission.",,Positions 2 and 3 within the Provider Identification group level field are filler.,N,"1 digit, alphanumeric",FSRCCLXS,0.1,,,,,
FISS,Provider State Code,PROV-STATE-CD,fiss_claims.prov_state_cd,Provider information,n/a,This field contains the locality state code of the provider portion of the provider identification.,,State codes are listed in section 2779A1 of the CMS State Operations Manual,N,"2 digits, alphanumeric",FSRCCLXS,0.1,,,,,
FISS,Provider Type Facility Code,PROV-TYP-FACIL-CD,fiss_claims.prov_typ_facil_cd,Provider information,n/a,"This field is the first position within the Provider Identification group level field, it identifies the provider facility type code.",,Positions 2 and 3 within the Provider Identification group level field are filler.,N,"1 digit, alphanumeric",FSRCCLXS,0.1,,,,,
FISS,Received Date,RECD-DT-CYMD,fiss_claims.recd_dt_cymd,Claim processing,n/a,This field is the group level name for the date the claim was received by the Intermediary.,,"For the vast majority of claims received electronically, this date is a timestamp from when the Combined Common Enhancement Module (CCEM) receives the claim.  
For claims received via Direct Data Entry (DDE), this field is the timestamp for the entry.
For claims entered manually by MACs, they can set the received date to whatever they want.",N,Date,FSRCCLXS,0.1,,,,,
FISS,Reject Code,REJECT-CD,fiss_claims.reject_cd,Claim processing,n/a,This field contains the reason code that identifies why the claim is being denied; for the record depending on the copybook it is used in.,,,N,"Alphanumeric, 5 characters",FSRCCLXS,0.5,,,,,
FISS,Repository HIC,REPOS-HIC,fiss_claims.repos_hic,Beneficiary information,n/a,"If the claim is submitted electronically, this field identifies the submitted subscriber primary identifier. This value may or may not be the beneficiary’s valid HIC number.",,,N,"Alphanumeric, 12 characters",FSRCCLXB,0.5,,,,,
FISS,Repository Indicator,REPOS-IND,fiss_claims.repos_ind,Beneficiary information,n/a,"If the claim is submitted electronically and the submitted subscriber primary identifier has been moved to the repository HIC field, this field indicates this move was made.",,,Y,"Alphanumeric, 1 character

Y = Repository HIC number has been moved

Space = Not applicable",FSRCCLXB,0.5,,,,,
FISS,Service Type Code,SERV-TYP-CD,fiss_claims.serv_typ_cd,Claim information,n/a,This field indicates the bill classification of the corresponding Bill Type Code group field.,,,,"Numeric, 1 digit

See the FISS Quick Reference, Table 148, Table 149, Table 150, copied on tab C for convenience.",FSRCCLXS,0.4,,,,,
FISS,Statement Covered From Date,STMT-COV-FROM-DATE-CYMD,fiss_claims.stmt_cov_from_date_cymd,Claim information,n/a,This field is the group level name comprised the statement covered from date. This is the beginning date of service of the period included on the claim; for the record depending on the copybook it is used in.,,This field is also provided as raw string text in the field fiss_claims.stmt_cov_from_cymd_text in case an invalid date is provided by the system,N,Date,FSRCCLXS,0.3,,,,,
FISS,Statement Covered To Date,STMT-COV-TO-DATE-CYMD,fiss_claims.stmt_cov_to_date_cymd,Claim information,n/a,This field is the group level name for the statement covers to date. This is the ending date of service of the period included on the claim; for the record depending on the copybook it is used in.,,This field is also provided as raw string text in the field fiss_claims.stmt_cov_to_cymd_text in case an invalid date is provided by the system,N,Date,FSRCCLXS,0.3,,,,,
FISS,Total Charge Amount,TOTAL-CHARGE-AMOUNT,fiss_claims.total_charge_amount,Billing information,n/a,This field identifies the total billed charges for the claims in the indicated bill category.,,This amount may not be equal to the sum of all the revenue lines.,N,Decimal,FSRCCLXS,0.1,,,,,"Does 0.00 mean ""we know this resulted in no charge"" or could it mean ""we don't have a value for this""? Does it even make sense for a claim to have no charge? "
